Group;Kingdom;Phylum;Class;Order;Family;Genus;Species;scientificName_used_in_dataset;scientificName_harmonized;taxonRank_of_scientificName;Reference_taxonRank_WoRMS;Reference_taxonRank_NCBI;Reference_taxonRank_GTDB;Status_of_name_worms;environment_worms;Date_of_access_WORMS_or_NCBI;metabolism;In_symbiosis_or_freeliving_reference;Singular_or_colony_forming_reference;Synonyms_if_available;Notes
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix vivipara;Calothrix vivipara Harvey, 1858;Calothrix vivipara;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix aeruginea;Calothrix aeruginea Thur.;Calothrix aeruginea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix epiphytica;Calothrix epiphytica W.West & G.S.West;Calothrix epiphytica;SPECIES;PRESENT;PRESENT;not_found;accepted;fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Conferva confervicola Dillwyn;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;unaccepted;marine;06.07.22;Photoautotroph;NA;NA;NA;worms_accepted_name_Calothrix_confervicola_C.Agardh_ex_Bornet_&_Flahault_1886
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;NA;Richelia J.Schmidt, 1901;Richelia;GENUS;PRESENT;PRESENT;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;NA;Trichodesmium Ehrenberg ex Gomont, 1892;Trichodesmium;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix adscendens;Calothrix adscendens (Naeg.) Born. & Flah.;Calothrix adscendens;SPECIES;PRESENT;not_found;not_found;accepted;fresh;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix atricha;Calothrix atricha Fremy, 1930;Calothrix atricha;SPECIES;PRESENT;not_found;not_found;accepted;fresh;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix clavata;Calothrix clavata G.S.West, 1914;Calothrix clavata;SPECIES;PRESENT;not_found;not_found;accepted;fresh;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Leibleinia confervicola (Dillwyn) Endlicher, 1843;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;Calothrix confervicola;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Oscillatoria confervicola (Dillwyn) C.Agardh;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;Calothrix confervicola;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium hildebrandtii;Trichodesmium hildebrandtii (Gomont) J.De Toni;Trichodesmium hildebrandtii ;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;Trichodesmium ehrenbergii Montagne, 1844;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix pulvinata;Calothrix pulvinata;Calothrix pulvinata;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix crustacea;Calothrix crustacea;Calothrix crustacea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Calothrix confervicola;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix aeruginea;Calothrix aeruginea;Calothrix aeruginea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Calothrix confervicola var. purpurea;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix scopulorum;Calothrix scopulorum;Calothrix scopulorum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix fuscoviolacea;Calothrix fuscoviolacea;Calothrix fuscoviolacea;SPECIES;PRESENT;not_found;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix contarenii;Calothrix contarenii;Calothrix contarenii;SPECIES;PRESENT;PRESENT;not_found;accepted;marine_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix brebissonii;Calothrix brebissonii;not_used;SPECIES;PRESENT;not_found;not_found;accepted;NA;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;calothrix prolifera;Calothrix prolifera;Calothrix prolifera;SPECIES;PRESENT;not_found;not_found;accepted;marine_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
NCD;Bacteria ;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;UBA2009;UBA2009 sp002314145;UBA2009 sp002314145;HBD-05;SPECIES;not_found;not_found;PRESENT;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;GTDB_NCBI_organism_name_Thalassolituus_sp_UBA885_in_Delmont_HBD-05
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;UBA2009;UBA2009 sp002706025;UBA2009 sp002706025;HBD-03;SPECIES;not_found;not_found;PRESENT;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;GTDB_NCBI_organism_name_Thalassolituus_sp_UBA883_in_Delmont_HBD-03
NCD;Bacteria ;Desulforbacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Pseudodesulfovibrio ;Pseudodesulfovibrio profundus;Pseudodesulfovibrio profundus;HBD-01;SPECIES;not_found;PRESENT;not_found;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;in_Delmont_HBD-01
NCD;Bacteria ;Planctomycetota ;Phycisphaerae;Phycisphaerales ;Phycisphaeraceae;UBA7800;UBA7800 sp002480565;UBA7800 sp002480565;HBD-09;SPECIES;not_found;not_found;not_found;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;in_Delmont_HBD-09
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales ;Burkholderiaceae;Pusillimonas ;Pusillimonas sp002384935;Pusillimonas sp002384935;HBD-02;SPECIES;not_found;not_found;not_found;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;in_Delmont_HBD-02
NCD;Bacteria ;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Ketobacteraceae;Ketobacter;Ketobacter sp002471665;Ketobacter sp002471665;HBD-06;SPECIES;not_found;not_found;not_found;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;in_Delmont_HBD-06
NCD;Bacteria ;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Ketobacteraceae;GCA-2701845;GCA-2701845 sp002701845;GCA-2701845 sp002701845;HBD-07;SPECIES;not_found;not_found;not_found;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;in_Delmont_HBD-07
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;UBA2009;UBA2009 sp002706025;UBA2009 sp002706025;HBD-04;SPECIES;not_found;not_found;PRESENT;accepted;not_found;06.07.22;Assumed_heterotroph;NA;NA;NA;GTDB_NCBI_organism_name_Thalassolituus_sp_UBA883_in_Delmont_HBD-04
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;Atelocyanobacterium thalassa A;UCYN.A;SPECIES;not_found;PRESENT;not_found;accepted;not_found;23.02.22;Photoautotroph;NA;NA;NA;NA
